data_podrozy,procent_opoznionych
2016-06-24,0.405
2016-06-25,0.3064
2016-06-26,0.3203
2016-06-27,0.3617
2016-06-28,0.2125
2016-06-29,0.4019
2016-06-30,0.3477
2016-07-01,0.453
2016-07-02,0.4832
2016-07-03,0.4125
2016-07-04,0.3557
2016-07-05,0.1737
2016-07-06,0.3805
2016-07-07,0.3025
2016-07-08,0.4472
2016-07-09,0.4843
2016-07-10,0.4508
2016-07-11,0.4781
2016-07-12,0.3287
2016-07-13,0.3191
2016-07-14,0.549
2016-07-15,0.4571
2016-07-16,0.2272
2016-07-17,0.344
2016-07-18,0.6332
2016-07-19,0.4728
2016-07-20,0.3819
2016-07-21,0.392
2016-07-22,0.3869
2016-07-23,0.2599
2016-07-24,0.4494
2016-07-25,0.5526
2016-07-26,0.4652
2016-07-27,0.3075
2016-07-28,0.2533
2016-07-29,0.2772
2016-07-30,0.3368
2016-07-31,0.3817
2016-08-01,0.3191
2016-08-02,0.3109
2016-08-03,0.5659
2016-08-04,0.5777
2016-08-05,0.4152
2016-08-06,0.5979
2016-08-07,0.5684
2016-08-08,0.6354
2016-08-09,0.6607
2016-08-10,0.3443
2016-08-11,0.4132
2016-08-12,0.4671
2016-08-13,0.5321
2016-08-14,0.5694
2016-08-15,0.5772
2016-08-16,0.4571
2016-08-17,0.5115
2016-08-18,0.4359
2016-08-19,0.4941
2016-08-20,0.4708
2016-08-21,0.5041
2016-08-22,0.4067
2016-08-23,0.3739
2016-08-24,0.4802
2016-08-25,0.4558
2016-08-26,0.4728
2016-08-27,0.6108
2016-08-28,0.3532
2016-08-29,0.348
2016-08-30,0.4324
2016-08-31,0.2135
2016-09-01,0.3511
2016-09-02,0.4549
2016-09-03,0.6124
2016-09-04,0.4739
2016-09-05,0.5581
2016-09-06,0.2621
2016-09-07,0.3206
2016-09-08,0.5143
2016-09-09,0.5576
2016-09-10,0.5371
2016-09-11,0.5517
2016-09-12,0.3576
2016-09-13,0.3745
2016-09-14,0.2961
2016-09-15,0.1884
2016-09-16,0.4
2016-09-17,0.5882
2016-09-18,0.5208
2016-09-19,0.35
2016-09-20,0.2602
2016-09-21,0.4011
2016-09-22,0.5075
2016-09-23,0.4321
2016-09-24,0.4272
2016-09-25,0.5061
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,0.3246
2016-10-04,0.2939
2016-10-05,0.2628
2016-10-06,0.2798
2016-10-07,0.3436
2016-10-08,0.3156
2016-10-09,0.1748
2016-10-10,0.3657
2016-10-11,0.374
2016-10-12,0.3129
2016-10-13,0.292
2016-10-14,0.3446
2016-10-15,0.3987
2016-10-16,0.5238
2016-10-17,0.3561
2016-10-18,0.3133
2016-10-19,0.3862
2016-10-20,0.4118
2016-10-21,0.3761
2016-10-22,0.7153
2016-10-23,0.4731
2016-10-24,0.4239
2016-10-25,0.4211
2016-10-26,0.3029
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,0
2016-11-03,0.4251
2016-11-04,0.3478
2016-11-05,0.6144
2016-11-06,0.4875
2016-11-07,0.2344
2016-11-08,0.2719
2016-11-09,0.2203
2016-11-10,0.4798
2016-11-11,0.4147
2016-11-12,0.3561
2016-11-13,0.3564
2016-11-14,0.3333
2016-11-15,0.1527
2016-11-16,0.4051
2016-11-17,0.2723
2016-11-18,0.4433
2016-11-19,0.5114
2016-11-20,0.419
2016-11-21,0.2862
2016-11-22,0.1386
2016-11-23,0.0085
2016-11-24,0.1042
2016-11-25,0.0458
2016-11-26,0.1157
2016-11-27,0.1912
2016-11-28,0.3193
2016-11-29,0.0127
2016-11-30,0.0201
2016-12-01,0.2639
2016-12-02,0.3433
2016-12-03,0.5031
2016-12-04,0.5584
2016-12-05,0.3251
2016-12-06,0.14
2016-12-07,0.2814
2016-12-08,0.2591
2016-12-09,0.2319
2016-12-10,0.4274
2016-12-11,0.4875
2016-12-12,0.4222
2016-12-13,0.3018
2016-12-14,0.3166
2016-12-15,0.3211
2016-12-16,0.4051
2016-12-17,0.5651
2016-12-18,0.2476
2016-12-19,0.4104
2016-12-20,0.3612
2016-12-21,0.2534
2016-12-22,0.3553
2016-12-23,0.4978
2016-12-24,0.6063
2016-12-25,0.4167
2016-12-26,0.3109
2016-12-27,0.3558
2016-12-28,0.3258
2016-12-29,0.5063
2016-12-30,0.4123
2016-12-31,0.4478
2017-01-01,0.4832
2017-01-02,0.4887
2017-01-03,0.4783
2017-01-04,0.3963
2017-01-05,0.6134
2017-01-06,0.314
2017-01-07,0.2749
2017-01-08,0.4275
2017-01-09,0.2219
2017-01-10,0.2647
2017-01-11,0.2458
2017-01-12,0.1103
2017-01-13,0.1094
2017-01-14,0.5226
2017-01-15,0.3862
2017-01-16,0.1561
2017-01-17,0.4183
2017-01-18,0.5272
2017-01-19,0.2018
2017-01-20,0.3431
2017-01-21,0.3841
2017-01-22,0.4569
2017-01-23,0.3007
2017-01-24,0.144
2017-01-25,0.256
2017-01-26,0.2866
2017-01-27,0.2965
2017-01-28,0.439
2017-01-29,0.4333
2017-01-30,0.2319
2017-01-31,0.1538
2017-02-01,0.4075
2017-02-02,0.204
2017-02-03,0.3141
2017-02-04,0.4085
2017-02-05,0.3059
2017-02-06,0.2358
2017-02-07,0.1611
2017-02-08,0.425
2017-02-09,0.2202
2017-02-10,0.3825
2017-02-11,0.5833
2017-02-12,0.3767
2017-02-13,0.2987
2017-02-14,0.5041
2017-02-15,0.1901
2017-02-16,0.1349
2017-02-17,0.1694
2017-02-18,0.3899
2017-02-19,0.2698
2017-02-20,0.2236
2017-02-21,0.3287
2017-02-22,0.2176
2017-02-23,0.1914
2017-02-24,0.298
2017-02-25,0.5909
2017-02-26,0.5152
2017-02-27,0.3365
2017-02-28,0.2597
2017-03-01,0.4481
2017-03-02,0.1919
2017-03-03,0.214
2017-03-04,0.3158
2017-03-05,0.2923
2017-03-06,0.1277
2017-03-07,0.1029
2017-03-08,0.0999
2017-03-09,0.1206
2017-03-10,0.074
2017-03-11,0.3282
2017-03-12,0.3556
2017-03-13,0.0703
2017-03-14,0.0948
2017-03-15,0.2423
2017-03-16,0.3358
2017-03-17,0.274
2017-03-18,0.5021
2017-03-19,0.4063
2017-03-20,0.3162
2017-03-21,0.2571
2017-03-22,0.2717
2017-03-23,0.33
2017-03-24,0.3551
2017-03-25,0.6788
2017-03-26,0.5301
2017-03-27,0.4156
2017-03-28,0.5403
2017-03-29,0.3622
2017-03-30,0.3655
2017-03-31,0.3878
2017-04-01,0.4966
2017-04-02,0.5374
2017-04-03,0.348
2017-04-04,0.2711
2017-04-05,0.1629
2017-04-06,0.4013
2017-04-07,0.1954
2017-04-08,0.3085
2017-04-09,0.3452
2017-04-10,0.4247
2017-04-11,0.4651
2017-04-12,0.5047
2017-04-13,0.5795
2017-04-14,0.5847
2017-04-15,0.9381
2017-04-16,0.6695
2017-04-17,0.5054
2017-04-18,0.6923
2017-04-19,0.3873
2017-04-20,0.2691
2017-04-21,0.3351
2017-04-22,0.6972
2017-04-23,0.5429
2017-04-24,0.447
2017-04-25,0.3561
2017-04-26,0.4481
2017-04-27,0.3932
2017-04-28,0.342
2017-04-29,0.5851
2017-04-30,0.449
2017-05-01,0.375
2017-05-02,0.4759
2017-05-03,0.3486
2017-05-04,0.3032
2017-05-05,0.5206
2017-05-06,0.5714
2017-05-07,0.5319
2017-05-08,0.3558
2017-05-09,0.4766
2017-05-10,0.4244
2017-05-11,0.35
2017-05-12,0.1811
2017-05-13,0.5628
2017-05-14,0.3352
2017-05-15,0.4115
2017-05-16,0.4769
2017-05-17,0.5956
2017-05-18,0.4412
2017-05-19,0.4821
2017-05-20,0.5354
2017-05-21,0.446
2017-05-22,0.2955
2017-05-23,0.3111
2017-05-24,0.3532
2017-05-25,0.489
2017-05-26,0.5556
2017-05-27,0.106
2017-05-28,0.1881
2017-05-29,0.2725
2017-05-30,0.2674
2017-05-31,0.3256
2017-06-01,0.4416
2017-06-02,0.3557
2017-06-03,0.2688
2017-06-04,0.5
2017-06-05,0.5021
2017-06-06,0.2876
2017-06-07,0.2993
2017-06-08,0.3392
2017-06-09,0.3691
2017-06-10,0.4935
2017-06-11,0.4933
2017-06-12,0.4418
2017-06-13,0.4674
2017-06-14,0.406
2017-06-15,0.4224
2017-06-16,0.2597
2017-06-17,0.593
2017-06-18,0.4364
2017-06-19,0.4718
2017-06-20,0.356
2017-06-21,0.3607
2017-06-22,0.2807
2017-06-23,0.2975
2017-06-24,0.4089
2017-06-25,0.3942
2017-06-26,0.3994
2017-06-27,0.4014
2017-06-28,0.3199
2017-06-29,0.3832
2017-06-30,0.4058
2017-07-01,0.4946
2017-07-02,0.4695
2017-07-03,0.4339
2017-07-04,0.4012
2017-07-05,0.4231
2017-07-06,0.2654
2017-07-07,0.4126
2017-07-08,0.3766
2017-07-09,0.3437
2017-07-10,0.286
2017-07-11,0.3481
2017-07-12,0.3666
2017-07-13,0.2821
2017-07-14,0.3051
2017-07-15,0.3617
2017-07-16,0.3399
2017-07-17,0.326
2017-07-18,0.2892
2017-07-19,0.4023
2017-07-20,0.3439
2017-07-21,0.368
2017-07-22,0.3874
2017-07-23,0.3877
2017-07-24,0.4251
2017-07-25,0.4027
2017-07-26,0.472
2017-07-27,0.567
2017-07-28,0.4925
2017-07-29,0.546
2017-07-30,0.3669
2017-07-31,0.2997
2017-08-01,0.4307
2017-08-02,0.4091
2017-08-03,0.4655
2017-08-04,0.4685
2017-08-05,0.4625
2017-08-06,0.5
2017-08-07,0.4944
2017-08-08,0.4096
2017-08-09,0.4948
2017-08-10,0.5754
2017-08-11,0.3912
2017-08-12,0.5084
2017-08-13,0.4242
2017-08-14,0.529
2017-08-15,0.2549
2017-08-16,0.4863
2017-08-17,0.3759
2017-08-18,0.4087
2017-08-19,0.3774
2017-08-20,0.4465
2017-08-21,0.3086
2017-08-22,0.5569
2017-08-23,0.4382
2017-08-24,0.4461
2017-08-25,0.288
2017-08-26,0.5504
2017-08-27,0.3881
2017-08-28,0.4205
2017-08-29,0.3187
2017-08-30,0.3237
2017-08-31,0.3815
2017-09-01,0.5365
2017-09-02,0.418
2017-09-03,0.2478
2017-09-04,0.3046
2017-09-05,0.5742
2017-09-06,0.4286
2017-09-07,0.462
2017-09-08,0.3223
2017-09-09,0.2838
2017-09-10,0.5363
2017-09-11,0.3199
2017-09-12,0.1539
2017-09-13,0.3256
2017-09-14,0.1918
2017-09-15,0.2062
2017-09-16,0.2212
2017-09-17,0.2331
2017-09-18,0.225
2017-09-19,0.276
2017-09-20,0.2214
2017-09-21,0.1846
2017-09-22,0.2688
2017-09-23,0.3371
2017-09-24,0.3177
2017-09-25,0.214
2017-09-26,0.35
2017-09-27,0.1728
2017-09-28,0.3474
2017-09-29,0.224
2017-09-30,0.1627
2017-10-01,0.2604
2017-10-02,0.1504
2017-10-03,0.2468
2017-10-04,0.1773
2017-10-05,0.1241
2017-10-06,0.2483
2017-10-07,0.45
2017-10-08,0.2585
2017-10-09,0.2643
2017-10-10,0.2435
2017-10-11,0.3125
2017-10-12,0.2063
2017-10-13,0.2721
2017-10-14,0.3322
2017-10-15,0.242
2017-10-16,0.0933
2017-10-17,0.3455
2017-10-18,0.2383
2017-10-19,0.2605
2017-10-20,0.2918
2017-10-21,0.2233
2017-10-22,0.2603
2017-10-23,0.255
2017-10-24,0.1994
2017-10-25,0.1657
2017-10-26,0.3047
2017-10-27,0.2124
2017-10-28,0.3482
2017-10-29,0.2031
2017-10-30,0.2068
2017-10-31,0.1837
2017-11-01,0.284
2017-11-02,0.2394
2017-11-03,0.2096
2017-11-04,0.4868
2017-11-05,0.4053
2017-11-06,0.37
2017-11-07,0.3737
2017-11-08,0.2823
2017-11-09,0.274
2017-11-10,0.249
2017-11-11,0.5098
2017-11-12,0.5486
2017-11-13,0.3667
2017-11-14,0.225
2017-11-15,0.2664
2017-11-16,0.1232
2017-11-17,0.291
2017-11-18,0.2564
2017-11-19,0.408
2017-11-20,0.3279
2017-11-21,0.4685
2017-11-22,0.2493
2017-11-23,0.0987
2017-11-24,0.1818
2017-11-25,0.3268
2017-11-26,0.3401
2017-11-27,0.2057
2017-11-28,0.2159
2017-11-29,0.1747
2017-11-30,0.2052
2017-12-01,0.3107
2017-12-02,0.2791
2017-12-03,0.2206
2017-12-04,0.1007
2017-12-05,0.1726
2017-12-06,0.1195
2017-12-07,0.1307
2017-12-08,0.2734
2017-12-09,0.2927
2017-12-10,0.2623
2017-12-11,0.2055
2017-12-12,0.3035
2017-12-13,0.1945
2017-12-14,0.1667
2017-12-15,0.1868
2017-12-16,0.4203
2017-12-17,0.2932
2017-12-18,0.1666
2017-12-19,0.1206
2017-12-20,0.2351
2017-12-21,0.3226
2017-12-22,0.2057
2017-12-23,0.5841
2017-12-24,0.3537
2017-12-25,0.3051
2017-12-26,0.2622
2017-12-27,0.3302
2017-12-28,0.3806
2017-12-29,0.3031
2017-12-30,0.6715
2017-12-31,0.4248
2018-01-01,0.2489
2018-01-02,0.3832
2018-01-03,0.1535
2018-01-04,0.2521
2018-01-05,0.3615
2018-01-06,0.3897
2018-01-07,0.31
2018-01-08,0.3957
2018-01-09,0.4331
2018-01-10,0.2577
2018-01-11,0.2963
2018-01-12,0.3223
2018-01-13,0.465
2018-01-14,0.2356
2018-01-15,0.2015
2018-01-16,0.1935
2018-01-17,0.1252
2018-01-18,0.2123
2018-01-19,0.1225
2018-01-20,0.269
2018-01-21,0.2289
2018-01-22,0.1282
2018-01-23,0.2148
2018-01-24,0.1322
2018-01-25,0.2341
2018-01-26,0.2063
2018-01-27,0.3438
2018-01-28,0.173
2018-01-29,0.1845
2018-01-30,0.2339
2018-01-31,0.1304
2018-02-01,0.2805
2018-02-02,0.216
