data_podrozy,procent_opoznionych
2016-01-02,0.6517
2016-01-03,0.453
2016-01-04,0.5075
2016-01-05,0.4664
2016-01-06,0.2888
2016-01-07,0.3547
2016-01-08,0.1882
2016-01-09,0.4758
2016-01-10,0.3772
2016-01-11,0.2548
2016-01-12,0.2402
2016-01-13,0.2661
2016-01-14,0.2396
2016-01-15,0.4507
2016-01-16,0.318
2016-01-17,0.3608
2016-01-18,0.1984
2016-01-19,0.2675
2016-01-20,0.2723
2016-01-21,0.351
2016-01-22,0.2029
2016-01-23,0.0998
2016-01-24,0.1586
2016-01-25,0.2589
2016-01-26,0.0988
2016-01-27,0.3512
2016-01-28,0.3512
2016-01-29,0.1477
2016-01-30,0.4873
2016-01-31,0.2768
2016-02-01,0.2168
2016-02-02,0.1723
2016-02-03,0.2312
2016-02-04,0.1531
2016-02-05,0.3667
2016-02-06,0.5329
2016-02-07,0.2231
2016-02-08,0.1464
2016-02-09,0.2075
2016-02-10,0.3709
2016-02-11,0.4118
2016-02-12,0.4026
2016-02-13,0.645
2016-02-14,0.5361
2016-02-15,0.375
2016-02-16,0.3207
2016-02-17,0.1786
2016-02-18,0.25
2016-02-19,0.3936
2016-02-20,0.5793
2016-02-21,0.5126
2016-02-22,0.2637
2016-02-23,0.2217
2016-02-24,0.3223
2016-02-25,0.3427
2016-02-26,0.4107
2016-02-27,0.5
2016-02-28,0.31
2016-02-29,0.4061
2016-03-01,0.1875
2016-03-02,0.2098
2016-03-03,0.265
2016-03-04,0.2889
2016-03-05,0.3822
2016-03-06,0.3895
2016-03-07,0.2828
2016-03-08,0.1771
2016-03-09,0.2252
2016-03-10,0.3151
2016-03-11,0.2464
2016-03-12,0.4817
2016-03-13,0.4432
2016-03-14,0.4031
2016-03-15,0.2115
2016-03-16,0.2727
2016-03-17,0.319
2016-03-18,0.3436
2016-03-19,0.5648
2016-03-20,0.3703
2016-03-21,0.3045
2016-03-22,0.0901
2016-03-23,0.1108
2016-03-24,0.1149
2016-03-25,0.1029
2016-03-26,0.2382
2016-03-27,0.2085
2016-03-28,0.2477
2016-03-29,0.1626
2016-03-30,0.1128
2016-03-31,0.1494
2016-04-01,0.1154
2016-04-02,0.1968
2016-04-03,0.25
2016-04-04,0.1975
2016-04-05,0.254
2016-04-06,0.189
2016-04-07,0.0791
2016-04-08,0.2713
2016-04-09,0.2434
2016-04-10,0.4123
2016-04-11,0.3701
2016-04-12,0.3005
2016-04-13,0.1653
2016-04-14,0.25
2016-04-15,0.3116
2016-04-16,0.3318
2016-04-17,0.3395
2016-04-18,0.2819
2016-04-19,0.2462
2016-04-20,0.3364
2016-04-21,0.2251
2016-04-22,0.3445
2016-04-23,0.5538
2016-04-24,0.4348
2016-04-25,0.3003
2016-04-26,0.1893
2016-04-27,0.0326
2016-04-28,0.132
2016-04-29,0.3274
2016-04-30,0.5344
2016-05-01,0.5458
2016-05-02,0.3333
2016-05-03,0.2283
2016-05-04,0.1733
2016-05-05,0.432
2016-05-06,0.3744
2016-05-07,0.7288
2016-05-08,0.5477
2016-05-09,0.2644
2016-05-10,0.1526
2016-05-11,0.2547
2016-05-12,0.2899
2016-05-13,0.3125
2016-05-14,0.3577
2016-05-15,0.3993
2016-05-16,0.4094
2016-05-17,0.1975
2016-05-18,0.1962
2016-05-19,0.2676
2016-05-20,0.2753
2016-05-21,0.4122
2016-05-22,0.4286
2016-05-23,0.2938
2016-05-24,0.258
2016-05-25,0.2863
2016-05-26,0.2246
2016-05-27,0.4234
2016-05-28,0.3507
2016-05-29,0.4328
2016-05-30,0.4024
2016-05-31,0.1613
2016-06-01,0.1939
2016-06-02,0.193
2016-06-03,0.3209
2016-06-04,0.2931
2016-06-05,0.3094
2016-06-06,0.3793
2016-06-07,0.3067
2016-06-08,0.2127
2016-06-09,0.356
2016-06-10,0.2527
2016-06-11,0.1584
2016-06-12,0.1852
2016-06-13,0.1429
2016-06-14,0.1257
2016-06-15,0.2557
2016-06-16,0.271
2016-06-17,0.2719
2016-06-18,0.3652
2016-06-19,0.365
2016-06-20,0.3828
2016-06-21,0.4226
2016-06-22,0.2612
2016-06-23,0.3642
